unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-41445400006,2021-10-28,4660,Hill Brothers Jiffy Mart / Cedar Rapids,"1904, Mt Vernon Rd SE",Cedar Rapids,52403,POINT (-91.642561 41.977226),57,LINN,1082000,Imported Cordials & Liqueurs,259,Heaven Hill Brands,65195,Hpnotiq,6,750,10,15,6,90,4.5,1.18,INV-41445400006,529,0.81
INV-33278700026,2021-01-07,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19063,Jim Beam,48,200,3.5,5.25,2,10.5,0.4,0.1,INV-33278700026,47,0.81
INV-42985200030,2021-12-16,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1701100,Temporary & Specialty Packages,259,Heaven Hill Brands,2229,Christian Bros Holiday Nog,12,750,4.5,6.75,36,243,27,7.13,INV-42985200030,47,0.81
INV-35848200072,2021-04-15,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1031100,American Vodkas,65,Jim Beam Brands,34578,Pinnacle,6,1750,10,15,12,180,21,5.54,INV-35848200072,47,0.81
INV-35667300076,2021-04-08,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1081400,American Schnapps,65,Jim Beam Brands,82849,Dekuyper Luscious Peachtree PET,6,1750,11.54,17.31,3,51.93,5.25,1.38,INV-35667300076,47,0.81
INV-36816500084,2021-05-20,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1071100,Cocktails /RTD,434,LUXCO INC,63530,Salvadors Original Margarita PET,6,1750,6,9,6,54,10.5,2.77,INV-36816500084,47,0.81
INV-34826200012,2021-03-08,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650755 41.988967),57,LINN,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26821,Jack Daniels Old #7 Black Label Mini,12,50,9.06,13.59,1,13.59,0.05,0.01,INV-34826200012,660,0.81
INV-34200600097,2021-02-10,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1022200,100% Agave Tequila,370,PERNOD RICARD USA,88186,Olmeca Altos Plata,6,750,14,21,6,126,4.5,1.18,INV-34200600097,255,0.81
INV-34723400097,2021-03-03,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5325,Johnnie Walker Black,24,375,11.5,17.25,4,69,1.5,0.39,INV-34723400097,255,0.81
INV-40181700023,2021-09-17,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402,POINT (-91.63913 42.04671),57,LINN,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,18.09,27.14,6,162.84,4.5,1.18,INV-40181700023,299,0.81
